task,format,threshold,n_above,n_below,p_above,p_below,p_good,bias,ci_low,ci_high,undefined_reason
giraffes,unrestricted,17550000.0,50,50,0.76,0.72,0.74,0.48,0.30000000000000004,0.6400000000000001,
giraffes,bounded,17550000.0,49,50,0.6326530612244898,0.58,0.606326530612245,0.2126530612244899,0.011428571428571344,0.4146938775510205,
zills,unrestricted,720.0,50,50,0.42,0.92,0.67,0.3400000000000001,0.18000000000000016,0.5,
zills,bounded,720.0,50,49,0.42,0.7346938775510204,0.5773469387755102,0.1546938775510205,-0.028999999999999256,0.33673469387755106,
bridge,unrestricted,2353000.0,50,48,0.58,0.6666666666666666,0.6233333333333333,0.2466666666666666,0.05964583333333401,0.43000000000000016,
bridge,bounded,2353000.0,49,50,0.5102040816326531,0.88,0.6951020408163265,0.3902040816326531,0.22774489795918376,0.5526530612244898,
crochet,unrestricted,9500000000.0,50,50,0.3,0.84,0.57,0.1399999999999999,-0.020000000000000018,0.30000000000000004,
crochet,bounded,9500000000.0,50,50,0.3,0.86,0.58,0.15999999999999992,0.0,0.32000000000000006,
tbc,unrestricted,1290.0,50,50,0.22,0.82,0.52,0.040000000000000036,-0.12,0.19999999999999996,
tbc,bounded,1290.0,50,49,0.28,0.8163265306122449,0.5481632653061225,0.09632653061224494,-0.06653061224489798,0.25795918367346937,
maiden,unrestricted,3950000.0,50,50,0.64,0.7,0.6699999999999999,0.33999999999999986,0.16000000000000014,0.52,
maiden,bounded,3950000.0,50,49,0.62,0.6938775510204082,0.6569387755102041,0.31387755102040815,0.1310102040816327,0.4959183673469387,
turns,unrestricted,980.0,49,50,0.4897959183673469,0.54,0.5148979591836735,0.029795918367347074,-0.17143877551020412,0.23103061224489801,
turns,bounded,980.0,49,50,0.5102040816326531,0.86,0.6851020408163265,0.37020408163265306,0.18856122448979598,0.5326632653061223,
orangecars,unrestricted,1325000.0,50,50,0.58,0.6,0.59,0.17999999999999994,0.0,0.3600000000000001,
orangecars,bounded,1325000.0,49,48,0.5306122448979592,0.7916666666666666,0.6611394557823129,0.32227891156462585,0.1377551020408163,0.5076530612244898,
windowdays,unrestricted,445000000.0,50,50,0.32,0.84,0.58,0.15999999999999992,0.0,0.32000000000000006,
windowdays,bounded,445000000.0,50,50,0.42,0.9,0.66,0.32000000000000006,0.15999999999999992,0.48,
