sample_id,task,format,condition,final_estimate,threshold,lower_bound,upper_bound,bound_violation
main:giraffes:unrestricted:baseline:0002,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0003,giraffes,unrestricted,baseline,23400000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0001,giraffes,unrestricted,baseline,40000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0000,giraffes,unrestricted,baseline,19800000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0005,giraffes,unrestricted,baseline,21126600,17550000.0,,,False
main:giraffes:unrestricted:baseline:0007,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0004,giraffes,unrestricted,baseline,20500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0008,giraffes,unrestricted,baseline,20400000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0011,giraffes,unrestricted,baseline,88000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0006,giraffes,unrestricted,baseline,15700000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0009,giraffes,unrestricted,baseline,14825000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0010,giraffes,unrestricted,baseline,9300000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0012,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0014,giraffes,unrestricted,baseline,45600000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0013,giraffes,unrestricted,baseline,15000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0017,giraffes,unrestricted,baseline,23400000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0015,giraffes,unrestricted,baseline,17850000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0016,giraffes,unrestricted,baseline,8790000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0018,giraffes,unrestricted,baseline,13500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0022,giraffes,unrestricted,baseline,7500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0020,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0021,giraffes,unrestricted,baseline,18200000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0019,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0023,giraffes,unrestricted,baseline,55000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0025,giraffes,unrestricted,baseline,17880000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0026,giraffes,unrestricted,baseline,41000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0027,giraffes,unrestricted,baseline,6440000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0024,giraffes,unrestricted,baseline,15400000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0030,giraffes,unrestricted,baseline,16700000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0028,giraffes,unrestricted,baseline,8000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0032,giraffes,unrestricted,baseline,21755000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0033,giraffes,unrestricted,baseline,6016000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0034,giraffes,unrestricted,baseline,7500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0029,giraffes,unrestricted,baseline,24000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0035,giraffes,unrestricted,baseline,22000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0036,giraffes,unrestricted,baseline,19600000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0031,giraffes,unrestricted,baseline,20500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0038,giraffes,unrestricted,baseline,12500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0039,giraffes,unrestricted,baseline,17550000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0040,giraffes,unrestricted,baseline,12000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0041,giraffes,unrestricted,baseline,5200000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0043,giraffes,unrestricted,baseline,20420400,17550000.0,,,False
main:giraffes:unrestricted:baseline:0037,giraffes,unrestricted,baseline,15000000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0042,giraffes,unrestricted,baseline,9730000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0044,giraffes,unrestricted,baseline,17376600,17550000.0,,,False
main:giraffes:unrestricted:baseline:0047,giraffes,unrestricted,baseline,5600000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0045,giraffes,unrestricted,baseline,17500000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0048,giraffes,unrestricted,baseline,22774000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0049,giraffes,unrestricted,baseline,23400000,17550000.0,,,False
main:giraffes:unrestricted:baseline:0046,giraffes,unrestricted,baseline,15170400,17550000.0,,,False
main:giraffes:unrestricted:above_good:0001,giraffes,unrestricted,above_good,18290000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0000,giraffes,unrestricted,above_good,187200000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0003,giraffes,unrestricted,above_good,16950000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0006,giraffes,unrestricted,above_good,42000000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0002,giraffes,unrestricted,above_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0007,giraffes,unrestricted,above_good,23400000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0004,giraffes,unrestricted,above_good,17250000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0009,giraffes,unrestricted,above_good,17790000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0008,giraffes,unrestricted,above_good,18720000,17550000.0,,,False
main:giraffes:unrestricted:above_good:0011,giraffes,unrestricted,above_good,17550000,17550000.0,,,False
