format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.0,0.23076923076923078,,,
unrestricted,baseline,task_median,giraffes,0.001001001001001001,0.2278215537474797,,,
unrestricted,baseline,task_median,giraffes,0.002002002002002002,0.2248738767257286,,,
unrestricted,baseline,task_median,giraffes,0.003003003003003003,0.2219261997039775,,,
unrestricted,baseline,task_median,giraffes,0.004004004004004004,0.2189785226822264,,,
unrestricted,baseline,task_median,giraffes,0.005005005005005005,0.2160308456604753,,,
unrestricted,baseline,task_median,giraffes,0.006006006006006006,0.2130831686387242,,,
unrestricted,baseline,task_median,giraffes,0.007007007007007007,0.21013549161697312,,,
unrestricted,baseline,task_median,giraffes,0.008008008008008008,0.207187814595222,,,
unrestricted,baseline,task_median,giraffes,0.009009009009009009,0.20424013757347093,,,
unrestricted,baseline,task_median,giraffes,0.01001001001001001,0.20129246055171982,,,
unrestricted,baseline,task_median,giraffes,0.011011011011011011,0.19834478352996873,,,
unrestricted,baseline,task_median,giraffes,0.012012012012012012,0.19539710650821762,,,
unrestricted,baseline,task_median,giraffes,0.013013013013013013,0.19244942948646654,,,
unrestricted,baseline,task_median,giraffes,0.014014014014014014,0.18950175246471543,,,
unrestricted,baseline,task_median,giraffes,0.015015015015015015,0.18872718872718874,,,
unrestricted,baseline,task_median,giraffes,0.016016016016016016,0.18934318934318936,,,
unrestricted,baseline,task_median,giraffes,0.017017017017017015,0.18995918995918998,,,
unrestricted,baseline,task_median,giraffes,0.018018018018018018,0.1905751905751906,,,
unrestricted,baseline,task_median,giraffes,0.01901901901901902,0.1911911911911912,,,
unrestricted,baseline,task_median,giraffes,0.02002002002002002,0.1918071918071918,,,
unrestricted,baseline,task_median,giraffes,0.02102102102102102,0.19242319242319242,,,
unrestricted,baseline,task_median,giraffes,0.022022022022022022,0.19303919303919304,,,
unrestricted,baseline,task_median,giraffes,0.023023023023023025,0.19365519365519365,,,
unrestricted,baseline,task_median,giraffes,0.024024024024024024,0.19427119427119427,,,
unrestricted,baseline,task_median,giraffes,0.025025025025025023,0.1948871948871949,,,
unrestricted,baseline,task_median,giraffes,0.026026026026026026,0.1955031955031955,,,
unrestricted,baseline,task_median,giraffes,0.02702702702702703,0.19611919611919612,,,
unrestricted,baseline,task_median,giraffes,0.028028028028028028,0.19673519673519674,,,
unrestricted,baseline,task_median,giraffes,0.029029029029029027,0.19735119735119735,,,
unrestricted,baseline,task_median,giraffes,0.03003003003003003,0.19796719796719797,,,
unrestricted,baseline,task_median,giraffes,0.031031031031031032,0.1985831985831986,,,
unrestricted,baseline,task_median,giraffes,0.03203203203203203,0.1991991991991992,,,
unrestricted,baseline,task_median,giraffes,0.03303303303303303,0.19981519981519982,,,
unrestricted,baseline,task_median,giraffes,0.03403403403403403,0.2028028028028028,,,
unrestricted,baseline,task_median,giraffes,0.035035035035035036,0.20680680680680683,,,
unrestricted,baseline,task_median,giraffes,0.036036036036036036,0.21081081081081082,,,
unrestricted,baseline,task_median,giraffes,0.037037037037037035,0.21481481481481482,,,
unrestricted,baseline,task_median,giraffes,0.03803803803803804,0.21881881881881884,,,
unrestricted,baseline,task_median,giraffes,0.03903903903903904,0.22282282282282284,,,
unrestricted,baseline,task_median,giraffes,0.04004004004004004,0.2265598932265599,,,
unrestricted,baseline,task_median,giraffes,0.04104104104104104,0.22389055722389056,,,
unrestricted,baseline,task_median,giraffes,0.04204204204204204,0.22122122122122123,,,
unrestricted,baseline,task_median,giraffes,0.043043043043043044,0.21855188521855187,,,
unrestricted,baseline,task_median,giraffes,0.044044044044044044,0.21588254921588254,,,
unrestricted,baseline,task_median,giraffes,0.04504504504504504,0.2132132132132132,,,
unrestricted,baseline,task_median,giraffes,0.04604604604604605,0.21054387721054385,,,
unrestricted,baseline,task_median,giraffes,0.04704704704704705,0.20787454120787452,,,
unrestricted,baseline,task_median,giraffes,0.04804804804804805,0.2052052052052052,,,
unrestricted,baseline,task_median,giraffes,0.04904904904904905,0.20253586920253586,,,
unrestricted,baseline,task_median,giraffes,0.050050050050050046,0.19986653319986653,,,
unrestricted,baseline,task_median,giraffes,0.05105105105105105,0.1971971971971972,,,
unrestricted,baseline,task_median,giraffes,0.05205205205205205,0.19452786119452786,,,
unrestricted,baseline,task_median,giraffes,0.05305305305305305,0.19185852519185853,,,
unrestricted,baseline,task_median,giraffes,0.05405405405405406,0.18918918918918917,,,
unrestricted,baseline,task_median,giraffes,0.055055055055055056,0.18651985318651984,,,
unrestricted,baseline,task_median,giraffes,0.056056056056056056,0.1838505171838505,,,
unrestricted,baseline,task_median,giraffes,0.057057057057057055,0.18118118118118118,,,
unrestricted,baseline,task_median,giraffes,0.058058058058058054,0.17851184517851185,,,
unrestricted,baseline,task_median,giraffes,0.05905905905905906,0.1758425091758425,,,
unrestricted,baseline,task_median,giraffes,0.06006006006006006,0.17317317317317316,,,
unrestricted,baseline,task_median,giraffes,0.06106106106106106,0.17050383717050382,,,
