task,format,threshold,n_above,n_below,p_above,p_below,p_good,bias,ci_low,ci_high,undefined_reason
giraffes,unrestricted,17550000.0,50,49,0.76,0.7142857142857143,0.7371428571428571,0.4742857142857142,0.2918367346938775,0.637142857142857,
giraffes,bounded,17550000.0,49,50,0.6326530612244898,0.58,0.606326530612245,0.2126530612244899,0.011428571428571344,0.4146938775510205,
zills,unrestricted,720.0,50,48,0.42,0.9166666666666666,0.6683333333333333,0.33666666666666667,0.17664583333333345,0.4975208333333333,
zills,bounded,720.0,50,49,0.42,0.7346938775510204,0.5773469387755102,0.1546938775510205,-0.028999999999999256,0.33673469387755106,
bridge,unrestricted,2353000.0,50,48,0.58,0.6458333333333334,0.6129166666666667,0.22583333333333333,0.022499999999999964,0.4108333333333334,
bridge,bounded,2353000.0,49,50,0.5102040816326531,0.88,0.6951020408163265,0.3902040816326531,0.22774489795918376,0.5526530612244898,
crochet,unrestricted,9500000000.0,50,49,0.3,0.8367346938775511,0.5683673469387756,0.1367346938775511,-0.026948979591836092,0.297969387755102,
crochet,bounded,9500000000.0,50,50,0.28,0.86,0.5700000000000001,0.14000000000000012,-0.020000000000000018,0.30000000000000004,
tbc,unrestricted,1290.0,50,47,0.22,0.8297872340425532,0.5248936170212766,0.04978723404255314,-0.09787234042553195,0.20981914893617012,
tbc,bounded,1290.0,50,49,0.28,0.8163265306122449,0.5481632653061225,0.09632653061224494,-0.06653061224489798,0.25795918367346937,
maiden,unrestricted,3950000.0,50,49,0.64,0.7142857142857143,0.6771428571428572,0.3542857142857143,0.15306122448979576,0.5359183673469388,
maiden,bounded,3950000.0,50,50,0.62,0.7,0.6599999999999999,0.31999999999999984,0.1200000000000001,0.5,
turns,unrestricted,980.0,50,50,0.48,0.54,0.51,0.020000000000000018,-0.17999999999999994,0.21999999999999997,
turns,bounded,980.0,49,50,0.5102040816326531,0.82,0.6651020408163265,0.330204081632653,0.14775510204081632,0.5114387755102039,
orangecars,unrestricted,1325000.0,49,50,0.5714285714285714,0.6,0.5857142857142856,0.17142857142857126,-0.011428571428571344,0.3538775510204082,
orangecars,bounded,1325000.0,50,48,0.52,0.7916666666666666,0.6558333333333333,0.31166666666666654,0.14583333333333348,0.49250000000000016,
windowdays,unrestricted,445000000.0,50,50,0.32,0.84,0.58,0.15999999999999992,0.0,0.32000000000000006,
windowdays,bounded,445000000.0,50,50,0.42,0.9,0.66,0.32000000000000006,0.15999999999999992,0.48,
