sample_id,task,format,condition,final_estimate,threshold,lower_bound,upper_bound,bound_violation
pilot:giraffes:unrestricted:baseline:0002,giraffes,unrestricted,baseline,22000000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0003,giraffes,unrestricted,baseline,15660000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0004,giraffes,unrestricted,baseline,49500000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0000,giraffes,unrestricted,baseline,12870000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0001,giraffes,unrestricted,baseline,21240000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0005,giraffes,unrestricted,baseline,17000000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0006,giraffes,unrestricted,baseline,22230000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0009,giraffes,unrestricted,baseline,18720000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0007,giraffes,unrestricted,baseline,20475000,19597500.0,,,False
pilot:giraffes:unrestricted:baseline:0008,giraffes,unrestricted,baseline,15000000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0002,giraffes,unrestricted,above_good,24219000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0003,giraffes,unrestricted,above_good,14250000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0001,giraffes,unrestricted,above_good,19465600,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0004,giraffes,unrestricted,above_good,17775000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0005,giraffes,unrestricted,above_good,56350000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0007,giraffes,unrestricted,above_good,23364000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0006,giraffes,unrestricted,above_good,17550000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0008,giraffes,unrestricted,above_good,19375000,19597500.0,,,False
pilot:giraffes:unrestricted:above_good:0009,giraffes,unrestricted,above_good,26684000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0000,giraffes,unrestricted,below_good,34500000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0002,giraffes,unrestricted,below_good,18522500,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0001,giraffes,unrestricted,below_good,18184910,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0003,giraffes,unrestricted,below_good,16889000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0004,giraffes,unrestricted,below_good,17316000,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0005,giraffes,unrestricted,below_good,5692320,19597500.0,,,False
pilot:giraffes:unrestricted:below_good:0006,giraffes,unrestricted,below_good,17550000,19597500.0,,,False
