format,condition,curve_type,task,estimate_position,median,q25,q75,band_label
unrestricted,baseline,task_median,giraffes,0.0,-0.029850746268656716,,,
unrestricted,baseline,task_median,giraffes,0.001001001001001001,-0.029442760786044367,,,
unrestricted,baseline,task_median,giraffes,0.002002002002002002,-0.029034775303432018,,,
unrestricted,baseline,task_median,giraffes,0.003003003003003003,-0.02862678982081967,,,
unrestricted,baseline,task_median,giraffes,0.004004004004004004,-0.02821880433820732,,,
unrestricted,baseline,task_median,giraffes,0.005005005005005005,-0.027810818855594974,,,
unrestricted,baseline,task_median,giraffes,0.006006006006006006,-0.027402833372982625,,,
unrestricted,baseline,task_median,giraffes,0.007007007007007007,-0.026994847890370276,,,
unrestricted,baseline,task_median,giraffes,0.008008008008008008,-0.026586862407757927,,,
unrestricted,baseline,task_median,giraffes,0.009009009009009009,-0.02617887692514558,,,
unrestricted,baseline,task_median,giraffes,0.01001001001001001,-0.02577089144253323,,,
unrestricted,baseline,task_median,giraffes,0.011011011011011011,-0.02536290595992088,,,
unrestricted,baseline,task_median,giraffes,0.012012012012012012,-0.02495492047730853,,,
unrestricted,baseline,task_median,giraffes,0.013013013013013013,-0.024546934994696193,,,
unrestricted,baseline,task_median,giraffes,0.014014014014014014,-0.024138949512083844,,,
unrestricted,baseline,task_median,giraffes,0.015015015015015015,-0.023730964029471495,,,
unrestricted,baseline,task_median,giraffes,0.016016016016016016,-0.023322978546859146,,,
unrestricted,baseline,task_median,giraffes,0.017017017017017015,-0.022914993064246797,,,
unrestricted,baseline,task_median,giraffes,0.018018018018018018,-0.022507007581634448,,,
unrestricted,baseline,task_median,giraffes,0.01901901901901902,-0.0220990220990221,,,
unrestricted,baseline,task_median,giraffes,0.02002002002002002,-0.02169103661640975,,,
unrestricted,baseline,task_median,giraffes,0.02102102102102102,-0.021283051133797404,,,
unrestricted,baseline,task_median,giraffes,0.022022022022022022,-0.020875065651185055,,,
unrestricted,baseline,task_median,giraffes,0.023023023023023025,-0.020467080168572706,,,
unrestricted,baseline,task_median,giraffes,0.024024024024024024,-0.020059094685960357,,,
unrestricted,baseline,task_median,giraffes,0.025025025025025023,-0.01965110920334801,,,
unrestricted,baseline,task_median,giraffes,0.026026026026026026,-0.01924312372073566,,,
unrestricted,baseline,task_median,giraffes,0.02702702702702703,-0.01883513823812331,,,
unrestricted,baseline,task_median,giraffes,0.028028028028028028,-0.01842715275551096,,,
unrestricted,baseline,task_median,giraffes,0.029029029029029027,-0.018192832454855673,,,
unrestricted,baseline,task_median,giraffes,0.03003003003003003,-0.018164739557774385,,,
unrestricted,baseline,task_median,giraffes,0.031031031031031032,-0.018136646660693097,,,
unrestricted,baseline,task_median,giraffes,0.03203203203203203,-0.018108553763611805,,,
unrestricted,baseline,task_median,giraffes,0.03303303303303303,-0.018080460866530517,,,
unrestricted,baseline,task_median,giraffes,0.03403403403403403,-0.01805236796944923,,,
unrestricted,baseline,task_median,giraffes,0.035035035035035036,-0.01802427507236794,,,
unrestricted,baseline,task_median,giraffes,0.036036036036036036,-0.017996182175286653,,,
unrestricted,baseline,task_median,giraffes,0.037037037037037035,-0.01796808927820536,,,
unrestricted,baseline,task_median,giraffes,0.03803803803803804,-0.017939996381124073,,,
unrestricted,baseline,task_median,giraffes,0.03903903903903904,-0.017911903484042785,,,
unrestricted,baseline,task_median,giraffes,0.04004004004004004,-0.017883810586961504,,,
unrestricted,baseline,task_median,giraffes,0.04104104104104104,-0.017855717689880216,,,
unrestricted,baseline,task_median,giraffes,0.04204204204204204,-0.017827624792798924,,,
unrestricted,baseline,task_median,giraffes,0.043043043043043044,-0.017799531895717636,,,
unrestricted,baseline,task_median,giraffes,0.044044044044044044,-0.017771438998636348,,,
unrestricted,baseline,task_median,giraffes,0.04504504504504504,-0.01774334610155506,,,
unrestricted,baseline,task_median,giraffes,0.04604604604604605,-0.01771525320447377,,,
unrestricted,baseline,task_median,giraffes,0.04704704704704705,-0.017687160307392483,,,
unrestricted,baseline,task_median,giraffes,0.04804804804804805,-0.017659067410311192,,,
unrestricted,baseline,task_median,giraffes,0.04904904904904905,-0.017630974513229904,,,
unrestricted,baseline,task_median,giraffes,0.050050050050050046,-0.017602881616148616,,,
unrestricted,baseline,task_median,giraffes,0.05105105105105105,-0.017574788719067327,,,
unrestricted,baseline,task_median,giraffes,0.05205205205205205,-0.01754669582198604,,,
unrestricted,baseline,task_median,giraffes,0.05305305305305305,-0.01751860292490475,,,
unrestricted,baseline,task_median,giraffes,0.05405405405405406,-0.017490510027823463,,,
unrestricted,baseline,task_median,giraffes,0.055055055055055056,-0.01746241713074217,,,
unrestricted,baseline,task_median,giraffes,0.056056056056056056,-0.017434324233660883,,,
unrestricted,baseline,task_median,giraffes,0.057057057057057055,-0.017406231336579595,,,
unrestricted,baseline,task_median,giraffes,0.058058058058058054,-0.017378138439498307,,,
unrestricted,baseline,task_median,giraffes,0.05905905905905906,-0.01735004554241702,,,
unrestricted,baseline,task_median,giraffes,0.06006006006006006,-0.017321952645335727,,,
unrestricted,baseline,task_median,giraffes,0.06106106106106106,-0.01729385974825444,,,
unrestricted,baseline,task_median,giraffes,0.062062062062062065,-0.01726576685117315,,,
unrestricted,baseline,task_median,giraffes,0.06306306306306306,-0.01723767395409187,,,
unrestricted,baseline,task_median,giraffes,0.06406406406406406,-0.017209581057010582,,,
unrestricted,baseline,task_median,giraffes,0.06506506506506507,-0.017181488159929287,,,
unrestricted,baseline,task_median,giraffes,0.06606606606606606,-0.017153395262848002,,,
unrestricted,baseline,task_median,giraffes,0.06706706706706707,-0.017125302365766714,,,
unrestricted,baseline,task_median,giraffes,0.06806806806806806,-0.017097209468685426,,,
unrestricted,baseline,task_median,giraffes,0.06906906906906907,-0.017069116571604138,,,
unrestricted,baseline,task_median,giraffes,0.07007007007007007,-0.01704102367452285,,,
unrestricted,baseline,task_median,giraffes,0.07107107107107107,-0.017012930777441558,,,
unrestricted,baseline,task_median,giraffes,0.07207207207207207,-0.01698483788036027,,,
